"failure_id","provider_id","equipment_id","equipment_type","location_site","location_city","location_state","location_country","failure_datetime","failure_type","failure_severity","failure_description","detected_by","recovery_action","recovery_start_datetime","recovery_end_datetime","recovery_duration_minutes","recovery_successful","recovery_notes","reported_by","affected_customers_count"
"F10001","TCom-01","RT-0601A","router","SiteA-CHI-01","Chicago","IL","USA","2024-04-03T09:17:00Z","hardware","critical","Core router failed due to overheating, network traffic rerouted.","automated monitoring","Replaced faulty cooling unit and restarted core router.","2024-04-03T09:25:00Z","2024-04-03T10:35:00Z","70","true","Replacement successful, all systems operational.","sys_admin_23","950"
"F10002","NetWave","SW-7812Q","switch","SwitchRoom-TYO-03","Tokyo","Tokyo","Japan","2024-03-18T18:46:00Z","network","major","Switch lost connectivity to upstream router, partial outages reported.","automated monitoring","Restored uplink port, verified routing tables.","2024-03-18T18:47:00Z","2024-03-18T19:10:00Z","23","true","Connectivity restored, monitoring for further issues.","net_ops_tyo","480"
"F10003","GlobeTel","BS-9001Z","base_station","RuralStation-NBO-04","Nairobi","Nairobi County","Kenya","2024-05-09T12:06:00Z","environmental","critical","Base station down due to heavy rain and flooding.","manual inspection","Elevated equipment, replaced damaged power supply.","2024-05-09T13:11:00Z","2024-05-09T18:45:00Z","334","true","All repairs completed, base station back online.","field_ops_nbo","4200"
"F10004","TCom-02","XCVR-312B","transceiver","LabCenter-SYD-02","Sydney","NSW","Australia","2024-03-21T11:20:00Z","hardware","major","Transceiver module failed during peak traffic.","automated monitoring","Module swapped, recalibrated optical lines.","2024-03-21T11:27:00Z","2024-03-21T12:03:00Z","36","true","No further errors detected post-replacement.","sys_admin_aus","320"
"F10005","GlobeTel","FOC-0112F","fiber_optic_cable","TunnelFOC-REY-10","Reykjavik","Capital Region","Iceland","2024-04-13T03:50:00Z","environmental","critical","Undersea fiber optic cable damaged by seismic activity.","manual inspection","Cable segment replaced, rerouted traffic during repair.","2024-04-13T06:00:00Z","2024-04-13T18:20:00Z","740","false","Temporary fix in place; full replacement scheduled.","marine_ops_ic","15200"
"F10006","NetWave","SW-1847L","switch","SwitchRoom-BER-07","Berlin","Berlin","Germany","2024-05-15T16:54:00Z","power","major","Switch rebooted unexpectedly after voltage drop.","manual inspection","UPS installed, checked for further power issues.","2024-05-15T17:00:00Z","2024-05-15T17:32:00Z","32","true","UPS operational, no further reboots observed.","field_ops_ber","240"
"F10007","TCom-01","RT-0602B","router","SiteB-AUS-05","Austin","TX","USA","2024-04-02T08:41:00Z","software","minor","Router firmware crashed during configuration update.","automated monitoring","Rolled back update, reinstalled previous firmware.","2024-04-02T08:42:00Z","2024-04-02T08:46:00Z","4","true","Firmware stable post-recovery.","sys_admin_tx","35"
"F10008","NetWave","FOC-0041C","fiber_optic_cable","BridgeFOC-PAR-06","Paris","Île-de-France","France","2024-05-05T21:18:00Z","hardware","critical","Fiber cable break detected under bridge crossing.","automated monitoring","Spliced cable, tested link integrity.","2024-05-05T22:00:00Z","2024-05-06T02:45:00Z","285","true","Cable restored, throughput returned to normal.","fiber_team_par","7100"
"F10009","GlobeTel","BS-9002A","base_station","Station-DXB-07","Dubai","Dubai","UAE","2024-05-12T05:22:00Z","power","major","Base station outage due to generator failure.","manual inspection","Generator repaired, base station restarted.","2024-05-12T06:00:00Z","2024-05-12T07:35:00Z","95","false","Partial restoration; additional generator work required.","field_ops_dxb","1700"
"F10010","TCom-01","SW-5691M","switch","DataHall-NYC-11","New York","NY","USA","2024-03-27T14:09:00Z","hardware","major","Switch power supply failed, downstream links offline.","automated monitoring","Power supply swapped, verified link restoration.","2024-03-27T14:15:00Z","2024-03-27T14:41:00Z","26","true","All ports operational, traffic normalized.","sys_admin_ny","510"
"F10011","NetWave","RT-0701D","router","CoreRoom-BER-09","Berlin","Berlin","Germany","2024-04-18T08:39:00Z","network","major","Major packet loss at core router, affecting all Berlin sites.","automated monitoring","Reconfigured routing protocol, cleared ARP cache.","2024-04-18T08:41:00Z","2024-04-18T09:18:00Z","37","true","Network stability restored.","net_ops_ber","800"
"F10012","GlobeTel","FOC-0121X","fiber_optic_cable","UnderseaFOC-CPT-02","Cape Town","Western Cape","South Africa","2024-05-03T04:01:00Z","environmental","critical","Undersea cable hit by anchor, severe data loss.","manual inspection","Cable section replaced, rerouted international traffic.","2024-05-03T06:00:00Z","2024-05-03T20:55:00Z","895","false","Major outages remain, permanent repairs underway.","marine_ops_cpt","33000"
"F10013","TCom-02","RT-0603C","router","LabCenter-DEL-03","Delhi","Delhi","India","2024-03-30T10:35:00Z","software","minor","Router interface froze during internal QA testing.","manual inspection","Reset interface, applied firmware patch.","2024-03-30T10:36:00Z","2024-03-30T10:39:00Z","3","true","Patch verified, no further freezes observed.","qa_team_del","0"
"F10014","TCom-01","SW-5692J","switch","DataHall-SEA-10","Seattle","WA","USA","2024-04-23T23:24:00Z","software","warning","Switch logging error detected, no impact to traffic.","automated monitoring","Restarted logging service, checked error logs.","2024-04-23T23:25:00Z","2024-04-23T23:26:00Z","1","true","Logging normalized, no further warnings.","sys_admin_sea","0"
"F10015","NetWave","FOC-0156E","fiber_optic_cable","TunnelFOC-BER-08","Berlin","Berlin","Germany","2024-04-04T17:19:00Z","hardware","critical","Tunnel fiber cable severed by excavation.","manual inspection","Cable spliced, tested for signal loss.","2024-04-04T18:05:00Z","2024-04-04T21:55:00Z","230","true","Signal restored, excavation protocols updated.","fiber_team_ber","10200"
